epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.839,1.28592,2.47441,1.34677,0.53713,0.34,0.36193,0.17104,1.49914,3.31559,1.74931,0.00066087,0.00066087,0.00066087
2,359.212,1.37206,2.12813,1.39342,0.61255,0.44274,0.43864,0.2233,1.99457,2.84891,2.1355,0.00130125,0.00130125,0.00130125
3,533.743,1.3824,1.9198,1.37496,0.75606,0.61987,0.68863,0.3769,1.39073,1.92536,1.54841,0.00191523,0.00191523,0.00191523
4,711.804,1.35591,1.6124,1.34016,0.81874,0.52,0.65667,0.30894,1.66753,1.92008,1.719,0.0018812,0.0018812,0.0018812
5,890.208,1.33816,1.49442,1.33848,0.68933,0.6213,0.65039,0.33426,1.31364,1.58066,1.46607,0.0018416,0.0018416,0.0018416
6,1068.87,1.28044,1.40342,1.30181,0.74431,0.69865,0.73138,0.47267,0.98058,1.27837,1.23388,0.001802,0.001802,0.001802
7,1248.69,1.21218,1.24378,1.2532,0.67093,0.64,0.66931,0.39832,1.84,1.47049,2.1805,0.0017624,0.0017624,0.0017624
8,1428.7,1.2418,1.18519,1.266,0.90109,0.72,0.80309,0.43219,1.75712,1.5384,2.18014,0.0017228,0.0017228,0.0017228
9,1607.94,1.15739,1.13233,1.21787,0.85105,0.79994,0.82342,0.48489,1.59813,1.0921,2.08368,0.0016832,0.0016832,0.0016832
10,1793,1.17849,1.0934,1.21903,0.79116,0.72,0.75577,0.39509,1.77493,1.24318,1.81747,0.0016436,0.0016436,0.0016436
11,1977.03,1.16236,1.08002,1.22319,0.70494,0.68,0.6906,0.38667,1.78052,1.43243,1.77057,0.001604,0.001604,0.001604
12,2161.66,1.11921,1.0658,1.20272,0.70273,0.7,0.68448,0.39008,1.85035,1.17905,2.20283,0.0015644,0.0015644,0.0015644
13,2340.25,1.1266,1.06196,1.18849,0.86481,0.66,0.75809,0.4286,1.76739,1.10239,2.11157,0.0015248,0.0015248,0.0015248
14,2515.77,1.07964,0.9484,1.15753,0.77947,0.7,0.73876,0.45959,1.69678,1.07203,1.98217,0.0014852,0.0014852,0.0014852
15,2689.5,1.07144,0.97067,1.18286,0.89408,0.74,0.79932,0.4968,1.73647,1.05708,1.88886,0.0014456,0.0014456,0.0014456
16,2864.15,1.05512,0.93969,1.15371,0.86612,0.58,0.67002,0.4216,1.49268,1.91217,1.55235,0.001406,0.001406,0.001406
17,3054.82,1.03405,0.8835,1.1346,0.78475,0.72,0.72971,0.45245,1.65696,1.07847,2.02117,0.0013664,0.0013664,0.0013664
18,3237.67,1.04797,0.89122,1.1521,0.84643,0.77172,0.80873,0.41189,1.7745,1.03134,1.89284,0.0013268,0.0013268,0.0013268
